batch_id,copy_time_us,kernel_time_us
1161,17.12,17.664
1162,17.6,17.696
1163,17.056,17.696
1164,17.184,17.696
1165,17.44,17.696
1166,16.512,18.72
1167,17.184,17.696
1168,15.872,19.04
1169,16.544,18.688
1170,16.544,18.752
1171,16.64,18.72
1172,17.28,17.664
1173,15.84,19.072
1174,16.608,18.72
1175,17.184,17.696
1176,17.216,17.696
1177,17.12,17.728
1178,15.904,19.04
1179,17.76,18.432
1180,17.28,18.432
1181,17.632,18.432
1182,12.384,11.744
1183,17.792,18.432
1184,17.472,18.432
1185,17.248,18.432
1186,18.336,17.088
1187,18.336,17.088
1188,17.568,18.432
1189,17.888,18.432
1190,17.376,18.432
1191,18.4,17.088
1192,17.824,18.432
1193,17.664,18.4
1194,17.248,18.432
1195,17.728,18.432
1196,17.728,18.432
1197,17.216,18.432
1198,17.6,18.4
1199,17.696,18.272
1200,18.464,17.088
1201,17.216,18.432
1202,18.4,17.088
1203,17.76,18.4
1204,18.304,18.048
1205,17.184,18.4
1206,17.792,17.408
1207,17.696,18.432
1208,17.76,18.4
1209,18.08,17.088
1210,17.696,17.376
1211,18.464,17.088
1212,17.312,18.432
1213,18.464,17.088
1214,17.696,18.432
1215,17.152,18.432
1216,17.568,18.4
1217,17.6,18.432
1218,17.248,18.4
1219,17.728,18.432
1220,17.76,18.4
1221,17.792,18.432
1222,17.792,17.408
1223,18.432,17.088
1224,17.184,18.4
1225,17.856,18.368
1226,17.664,18.4
1227,17.152,18.432
1228,17.568,18.432
1229,18.08,16.96
1230,17.28,19.04
1231,15.776,19.072
1232,16.032,19.04
1233,16.8,17.696
1234,16,19.04
1235,15.936,18.016
1236,16.48,18.592
1237,16.608,18.752
1238,16.576,17.92
1239,16.16,18.944
1240,17.152,17.696
1241,17.056,17.696
1242,17.28,17.696
1243,17.12,17.408
1244,17.216,17.632
1245,15.296,11.36
1246,16.736,17.696
1247,16.544,18.688
1248,17.856,18.432
1249,17.696,18.464
1250,17.472,18.432
1251,10.144,18.336
1252,17.12,11.264
1253,10.368,18.72
1254,10.208,19.2
1255,10.08,18.432
1256,17.824,18.432
1257,17.888,19.296
1258,17.952,16.384
1259,17.568,18.432
1260,17.888,17.376
1261,18.272,18.432
1262,17.568,18.4
1263,18.176,17.408
1264,17.92,18.432
1265,17.728,11.264
1266,17.6,18.4
1267,17.792,17.376
1268,17.824,18.4
1269,17.344,18.432
1270,17.888,18.432
1271,17.376,18.4
1272,17.568,18.432
1273,17.792,18.432
1274,17.856,18.432
1275,17.632,18.432
1276,17.632,18.432
1277,17.408,18.432
1278,17.6,18.432
1279,17.568,18.4
1280,17.824,17.408
1281,10.144,18.464
1282,18.368,17.088
1283,17.536,18.4
1284,17.856,18.432
1285,18.496,17.088
1286,17.888,17.376
1287,17.216,18.432
1288,17.12,18.432
1289,17.28,18.464
1290,17.952,17.376
1291,17.216,18.432
1292,17.952,17.408
1293,17.664,18.4
1294,17.12,18.432
1295,18.464,17.088
1296,17.856,18.24
1297,17.76,18.4
1298,17.824,17.376
1299,17.344,18.4
1300,16.224,19.04
1301,16.128,19.072
1302,15.872,18.944
1303,16.736,17.696
1304,16.64,18.72
1305,15.744,19.04
1306,15.872,19.04
1307,16.16,18.912
1308,15.936,18.88
1309,15.808,19.04
1310,16.64,18.72
1311,15.808,19.04
1312,15.968,18.944
1313,17.024,17.696
1314,16.608,18.72
1315,18.016,17.696
1316,17.152,17.664
1317,17.696,18.432
1318,17.312,18.432
1319,17.696,18.24
